zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
15849,STANDARD,0,Penfield,,,PA,Clearfield County,America/New_York,814,NA,US,41.21,-78.6,1080
15851,STANDARD,0,Reynoldsville,,,PA,Jefferson County,America/New_York,814,NA,US,41.09,-78.88,5890
15853,STANDARD,0,Ridgway,Portland Mills-Portland Mls,,PA,Elk County,America/New_York,814,NA,US,41.42,-78.72,5920
15856,STANDARD,0,Rockton,,,PA,Clearfield County,America/New_York,814,NA,US,41.08,-78.66,830
15857,STANDARD,0,Saint Marys,,St Marys,PA,Elk County,America/New_York,814,NA,US,41.42,-78.55,12060
15860,STANDARD,0,Sigel,Hallton,,PA,Jefferson County,America/New_York,814,NA,US,41.28,-79.12,980
15861,STANDARD,0,Sinnamahoning,,,PA,Cameron County,America/New_York,814,NA,US,41.38,-78.05,150
15864,STANDARD,0,Summerville,,,PA,Jefferson County,America/New_York,814,NA,US,41.1,-79.2,1700
15865,STANDARD,0,Sykesville,,,PA,Jefferson County,America/New_York,814,NA,US,41.04,-78.83,1050
15866,STANDARD,0,Troutville,,,PA,Clearfield County,America/New_York,814,NA,US,41.02,-78.78,187
15868,STANDARD,0,Weedville,,,PA,Elk County,America/New_York,814,NA,US,41.26,-78.49,1370
15870,STANDARD,0,Wilcox,,,PA,Elk County,America/New_York,814,NA,US,41.58,-78.68,1120
15901,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.33,-78.91,2230
15902,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.32,-78.91,9240
15904,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.31,-78.84,13360
15905,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.29,-78.97,18010
15906,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.38,-78.96,8470
15909,STANDARD,0,Johnstown,Conemaugh,,PA,Cambria County,America/New_York,814,NA,US,40.41,-78.87,4640
15915,STANDARD,0,Johnstown,,,PA,Cambria County,America/New_York,814,NA,US,40.32,-78.91,0
15920,STANDARD,0,Armagh,,,PA,Indiana County,America/New_York,,NA,US,40.45,-79.03,800
15923,STANDARD,0,Bolivar,,,PA,Westmoreland County,America/New_York,724,NA,US,40.39,-79.15,1380
15924,STANDARD,0,Cairnbrook,,,PA,Somerset County,America/New_York,814,NA,US,40.1,-78.76,900
15926,STANDARD,0,Central City,,,PA,Somerset County,America/New_York,814,NA,US,40.05,-78.82,2190
15927,STANDARD,0,Colver,,,PA,Cambria County,America/New_York,814,NA,US,40.54,-78.78,1050
15928,STANDARD,0,Davidsville,,,PA,Somerset County,America/New_York,814,NA,US,40.23,-78.93,1810
15931,STANDARD,0,Ebensburg,,,PA,Cambria County,America/New_York,814,NA,US,40.48,-78.72,7640
15935,STANDARD,0,Hollsopple,,,PA,Somerset County,America/New_York,814,NA,US,40.24,-78.96,2410
15936,STANDARD,0,Hooversville,,,PA,Somerset County,America/New_York,814,NA,US,40.15,-78.91,1340
15938,STANDARD,0,Lilly,,,PA,Cambria County,America/New_York,814,NA,US,40.42,-78.62,2200
15940,STANDARD,0,Loretto,,,PA,Cambria County,America/New_York,814,NA,US,40.5,-78.63,1650
15942,STANDARD,0,Mineral Point,,,PA,Cambria County,America/New_York,814,NA,US,40.38,-78.82,1910
15943,STANDARD,0,Nanty Glo,,,PA,Cambria County,America/New_York,814,NA,US,40.47,-78.83,3120
15944,STANDARD,0,New Florence,,,PA,Westmoreland County,America/New_York,724,NA,US,40.37,-79.07,2770
15945,STANDARD,0,Parkhill,Johnstown,,PA,Cambria County,America/New_York,814,NA,US,40.36,-78.87,220
15946,STANDARD,0,Portage,Puritan,,PA,Cambria County,America/New_York,814,NA,US,40.38,-78.67,5960
15949,STANDARD,0,Robinson,,,PA,Indiana County,America/New_York,724,NA,US,40.41,-79.13,630
15952,STANDARD,0,Salix,,,PA,Cambria County,America/New_York,814,NA,US,40.3,-78.78,1260
15953,STANDARD,0,Seanor,,,PA,Somerset County,America/New_York,814,NA,US,40.21,-78.89,78
15954,STANDARD,0,Seward,,Boltz-Cramer,PA,Indiana County,America/New_York,814,NA,US,40.41,-79.02,1810
15955,STANDARD,0,Sidman,,,PA,Cambria County,America/New_York,814,NA,US,40.32,-78.7,1740
15956,STANDARD,0,South Fork,,Ehrenfeld,PA,Cambria County,America/New_York,814,NA,US,40.36,-78.79,2470
