OBJECTID_1,ZIP,NAME,STATE,COUNTYNAME,TotalPopulation,PercentGenZ,PercentMillenial,PercentGenX,PercentBoomer,PercentSilentGen,MedianHouseholdIncome,PercentHispanic,PercentMinority,PercentBelowPoverty,PercentPopGroupLiving,PlaceNames,Cases_1,LabelY,Shape__Area,Shape__Length,Shape_Length,Shape_Area,OBJECTID
1504,32960,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,32,32,28290819.7746582,22032.1098431554,22032.1100079263,28290819.8005861,1503
1505,32961,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,0,0,4461.13845825195,724.367761751185,724.367814124558,4461.14286761256,1504
1506,32962,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,5 to 9,-1,30510012.1933594,27789.5071268764,27789.5070876665,30510012.1817241,1505
1507,32963,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,5 to 9,-1,40276159.7758484,79856.0726506989,79856.0726965447,40276159.6814146,1506
1508,32966,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,5 to 9,-1,706691706.612854,206163.710814497,206163.711078862,706691707.371761,1507
1509,32967,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,5 to 9,-1,111442523.830627,77441.8822352269,77441.8821624511,111442523.755084,1508
1510,32968,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,<5,-2,124882162.513092,89622.8496410448,89622.849924328,124882162.570048,1509
1511,32969,VERO BEACH,,INDIAN RIVER,,,,,,,,,,,,,0,0,6056.31979370117,653.510370692798,653.510315029703,6056.32259087684,1510
1512,32976,SEBASTIAN,,INDIAN RIVER,,,,,,,,,,,,,0,0,28847.3987121582,8945.77903246044,8945.77911296788,28847.6129742913,1511
1513,34739,KENANSVILLE,,INDIAN RIVER,,,,,,,,,,,,,0,0,48495.4801330566,6569.80713532147,6569.80704830249,48495.4437481398,1512
1514,34945,FORT PIERCE,,INDIAN RIVER,,,,,,,,,,,,,0,0,20581.4878234863,5943.11096222878,5943.11090004213,20581.5579142829,1513
1515,34949,FORT PIERCE,,INDIAN RIVER,,,,,,,,,,,,,0,0,28.7350158691406,261.877706091227,261.877768961015,28.7380221049353,1514
1516,34951,FORT PIERCE,,INDIAN RIVER,,,,,,,,,,,,,0,0,36978.1764526367,4971.0506858749,4971.05067960364,36978.1618279842,1515
1517,34972,OKEECHOBEE,,INDIAN RIVER,,,,,,,,,,,,,0,0,1138538.80731201,53780.4639776115,53780.4638267169,1138538.71201735,1516
1518,33004,DANIA,,BROWARD,,,,,,,,,,,,,20,20,12613652.6828766,23301.4650116135,23301.4652856495,12613652.6734955,1517
1519,33009,HALLANDALE,,BROWARD,,,,,,,,,,,,,69,69,14014628.4350128,18695.0993552965,18695.0994387681,14014628.428677,1518
1520,33015,HIALEAH,,BROWARD,,,,,,,,,,,,,0,0,20947.2532806396,4359.76827038274,4359.76822197959,20947.3234553531,1519
1521,33019,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,29,29,13051035.1910858,20722.7317208781,20722.7318148489,13051035.131117,1520
1522,33020,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,72,72,16129655.8071442,20406.3182718344,20406.3180610445,16129655.8364809,1521
1523,33021,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,101,101,22751935.5334015,21440.4530388351,21440.4532547534,22751935.5720926,1522
1524,33022,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,<5,-2,19867.9763031006,594.949073464167,594.948991275036,19867.9698624613,1523
1525,33023,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,143,143,25270574.0330963,23344.4972908568,23344.497502315,25270574.1844554,1524
1526,33024,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,129,129,28498451.2118225,24893.3710009085,24893.3707002753,28498451.0492587,1525
1527,33025,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,140,140,28652888.3105469,25846.4899525069,25846.4900987878,28652888.2381301,1526
1528,33026,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,41,41,13151005.5554504,16017.5175533973,16017.51758528,13151005.6053301,1527
1529,33027,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,102,102,36305751.0912323,24364.8460331893,24364.846015177,36305750.9085471,1528
1530,33028,PEMBROKE PINES,,BROWARD,,,,,,,,,,,,,438,438,15348494.503067,17927.6546898049,17927.6546592745,15348494.5174418,1529
1531,33029,HOLLYWOOD,,BROWARD,,,,,,,,,,,,,73,73,110495845.127533,52332.8248215964,52332.8246956988,110495845.027312,1530
1532,33055,OPA LOCKA,,BROWARD,,,,,,,,,,,,,0,0,136707.595001221,8191.38082815171,8191.3808630214,136707.532084628,1531
1533,33056,MIAMI GARDENS,,BROWARD,,,,,,,,,,,,,0,0,104217.688339233,6108.12950838332,6108.12940966858,104217.620044824,1532
1534,33060,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,40,40,18041470.2234192,20556.4171715095,20556.4173072347,18041470.1615164,1533
1535,33062,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,18,18,5820293.52464294,36292.5366073757,36292.5368105919,5820293.56765231,1534
1536,33063,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,37,37,23489872.9603271,24664.0977250286,24664.0976130649,23489873.1230044,1535
1537,33064,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,76,76,25767614.3208008,38046.5179332433,38046.518340631,25767614.4247601,1536
1538,33065,CORAL SPRINGS,,BROWARD,,,,,,,,,,,,,63,63,22330961.9375305,24095.2613332339,24095.2614557507,22330961.9739459,1537
1539,33066,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,5 to 9,-1,8311720.31425476,13340.6700712671,13340.6699253276,8311720.2115916,1538
1540,33067,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,29,29,25044708.3315735,25235.4523537693,25235.4523065299,25044708.2585126,1539
1541,33068,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,76,76,15529769.1336365,17745.2860943446,17745.2863185658,15529769.0604149,1540
1542,33069,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,57,57,25548103.8426666,27508.8646900403,27508.8647055427,25548104.0122157,1541
1543,33071,CORAL SPRINGS,,BROWARD,,,,,,,,,,,,,43,43,20288248.348175,19330.935507825,19330.9353975356,20288248.3815944,1542
1544,33073,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,39,39,23032881.7993164,27041.924817758,27041.9246251086,23032881.7908855,1543
1545,33076,POMPANO BEACH,,BROWARD,,,,,,,,,,,,,34,34,35052462.7629089,33803.96248939,33803.9622855808,35052462.7105643,1544
1546,330MX,,,BROWARD,,,,,,,,,,,,,0,0,1223503262.52081,183923.107573352,183923.107943436,1223503262.35278,1545
1547,33160,NORTH MIAMI BEACH,,BROWARD,,,,,,,,,,,,,0,0,11.8440704345703,33.3227017030563,33.3226780190962,11.8440581364328,1546
1548,33179,MIAMI,,BROWARD,,,,,,,,,,,,,0,0,338.506088256836,557.976484846416,557.976605484585,338.508131494926,1547
1549,33180,MIAMI,,BROWARD,,,,,,,,,,,,,0,0,2.80195617675781,15.8496482470732,15.8497586863529,2.80186915422474,1548
1550,331MX,,,BROWARD,,,,,,,,,,,,,0,0,6032975.32775879,44653.3827669038,44653.3828415171,6032975.41057656,1549
1551,33301,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,37,37,5701364.68107605,17343.7261964801,17343.7264032093,5701364.70272904,1550
1552,33304,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,47,47,6984948.05900574,19793.5544670568,19793.5546403724,6984948.15354647,1551
1553,33305,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,22,22,4389186.04504395,13694.2121568776,13694.2126643486,4389186.05021927,1552
1554,33306,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,5 to 9,-1,1475037.46574402,10089.5795405812,10089.5799767174,1475037.4398737,1553
1555,33308,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,41,41,6541196.22924805,23275.4107330623,23275.4114022282,6541196.07848926,1554
1556,33309,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,109,109,26611723.7466125,29482.1689253623,29482.1695175005,26611723.7969429,1555
1557,33311,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,216,216,27749563.7625427,29135.6999794629,29135.699671859,27749563.8507762,1556
1558,33312,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,71,71,31354383.0333252,34949.3953119733,34949.395571953,31354382.8697434,1557
1559,33313,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,101,101,16743008.2220306,22842.7625423403,22842.7626744986,16743008.2121537,1558
1560,33314,FORT LAUDERDALE,,BROWARD,,,,,,,,,,,,,41,41,21376443.1043091,23771.4456156455,23771.4454588852,21376443.066673,1559
